43.04, -23.753, 99.935
42.94, -23.755, 99.933
42.84, -23.757, 99.931
42.74, -23.758, 99.929
42.64, -23.76, 99.927
42.54, -23.762, 99.925
42.44, -23.764, 99.923
42.34, -23.765, 99.921
42.24, -23.767, 99.919
42.14, -23.769, 99.916
42.04, -23.77, 99.915
41.94, -23.772, 99.912
41.84, -23.773, 99.91
41.74, -23.775, 99.907
41.64, -23.777, 99.906
41.54, -23.778, 99.903
41.44, -23.78, 99.9
41.34, -23.781, 99.898
41.24, -23.782, 99.895
41.14, -23.784, 99.893
41.04, -23.785, 99.891
40.94, -23.787, 99.888
40.84, -23.788, 99.885
40.74, -23.789, 99.884
40.64, -23.791, 99.881
40.54, -23.792, 99.878
40.44, -23.793, 99.875
40.34, -23.794, 99.872
40.24, -23.796, 99.87
40.14, -23.797, 99.867
40.04, -23.798, 99.864
39.94, -23.799, 99.861
39.84, -23.8, 99.858
39.74, -23.801, 99.855
39.64, -23.802, 99.852
39.54, -23.803, 99.85
39.44, -23.804, 99.846
39.34, -23.805, 99.843
39.24, -23.806, 99.84
39.14, -23.807, 99.836
39.04, -23.808, 99.833
38.94, -23.808, 99.83
38.84, -23.809, 99.826
38.74, -23.81, 99.824
38.64, -23.81, 99.82
38.54, -23.811, 99.816
38.44, -23.812, 99.813
38.34, -23.812, 99.809
38.24, -23.813, 99.805
38.14, -23.813, 99.801
38.04, -23.813, 99.797
37.94, -23.814, 99.793
37.84, -23.814, 99.789
37.74, -23.814, 99.785
37.64, -23.814, 99.781
37.54, -23.815, 99.776
37.44, -23.815, 99.772
37.34, -23.815, 99.767
37.24, -23.815, 99.763
37.14, -23.815, 99.758
37.04, -23.815, 99.753
36.94, -23.814, 99.749
36.84, -23.814, 99.744
36.74, -23.814, 99.739
36.64, -23.813, 99.734
36.54, -23.813, 99.729
36.44, -23.813, 99.723
36.34, -23.812, 99.718
36.24, -23.811, 99.713
36.14, -23.811, 99.705
36.04, -23.81, 99.7
35.94, -23.809, 99.694
35.84, -23.808, 99.688
35.74, -23.808, 99.682
35.64, -23.806, 99.676
35.54, -23.805, 99.67
35.44, -23.804, 99.661
35.34, -23.803, 99.655
35.24, -23.802, 99.648
35.14, -23.8, 99.641
35.04, -23.799, 99.632
34.94, -23.797, 99.625
34.84, -23.796, 99.617
34.74, -23.794, 99.61
34.64, -23.792, 99.6
34.541, -23.79, 99.592
34.441, -23.789, 99.795
34.341, -23.791, 99.79
34.241, -23.794, 99.785
34.141, -23.797, 99.78
34.041, -23.8, 99.774
33.941, -23.802, 99.767
33.841, -23.805, 99.762
33.741, -23.807, 99.755
33.641, -23.81, 99.749
33.541, -23.812, 99.742
33.441, -23.815, 99.735
33.341, -23.817, 99.727
33.241, -23.819, 99.72
